date,pays,Ligue,id_ligue,nom_club,id_club,id_joueur,nom,nationalité,age(saison correspondante),id_stats,Matches_Played,Minutes*,Goals,Shots,OnTarget,Ratio but par match
2020,England,Premier League,1,(SOU),82,93,James Ward-Prowse,Anglaise,25,344,10,960,4,10,7,"0,4"
2020,England,Premier League,1,(WHU),95,95,Jarrod Bowen,Anglaise,23,345,10,845,4,22,5,"0,4"
2020,France,Ligue 1,5,(LIL),52,101,Jonathan Bamba,Français,24,346,11,1061,4,25,9,"0,363636364"
2020,France,Ligue 1,5,(STR),85,129,Ludovic Ajorque,Français,26,347,11,1008,4,17,8,"0,363636364"
2020,France,Ligue 1,5,(NAN),62,130,Ludovic Blas,Français,22,348,11,990,4,19,7,"0,363636364"
2020,Spain,La Liga,4,(LEV),51,156,Morales,Espagnole,33,349,10,758,4,17,8,"0,4"
2020,England,Premier League,1,(LEE),48,169,Patrick Bamford,Anglaise,27,350,10,898,7,40,17,"0,7"
2020,England,Premier League,1,(WOL),97,179,Raul Jimenez,Mexicaine,29,351,10,872,4,26,10,"0,4"
2020,England,Premier League,1,(TOT),88,208,Son Heung-Min,Corréen,28,352,10,861,9,20,12,"0,9"
2020,England,Premier League,1,(CHE),22,214,Timo Werner,Allemande,24,353,10,876,4,23,10,"0,4"
2020,France,Ligue 1,5,(MON),60,219,Wissam Ben Yedder,Français,30,354,10,879,6,30,8,"0,6"
